"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001000121",46.9301628192963,-0.000608464024950182,0.214037396735879,0.991359620014005,0.99843942936573
"NM_001000750",99.099248840761,-0.689079964547957,0.431818917237765,0.00562261750849238,0.059963397468678
"NM_001000913",7.8919257499064,-0.0419987208347924,0.227396352376416,0.502122668691716,0.805771936373381
"NM_001001504",435.924433994806,-0.206015224875736,0.163412270426245,0.0988827154836674,0.382194354328867
"NM_001001505",2777.69703671649,-0.996741970152545,0.1918368072189,1.38590544084612e-08,9.34222296540173e-07
"NM_001001507",561.375424059747,0.0555610219198191,0.179710459170287,0.634867842898302,0.881484322012334
"NM_001001509",4366.99860371943,-1.28417077906357,0.218613382873141,2.52827493304407e-10,2.52816930179316e-08
"NM_001001511",75.570909458384,-0.61177384839099,0.373104166289962,0.00653508562738512,0.0663533288993571
"NM_001001512",2667.4227642362,-0.256988876402265,0.153080440493117,0.0360303454952399,0.210219511713653
"NM_001001513",174.365570028416,0.176666204853343,0.169316778654641,0.160795062341069,0.484646084975136
"NM_001001515",264.784189104663,-0.281325224518359,0.238099260425058,0.0593652407920225,0.285093853920441
"NM_001001517",941.714140266465,-0.0816437383040001,0.111374234950033,0.402441225464571,0.739462714659937
"NM_001001718",300.661841834495,-0.153064006373354,0.142826784545639,0.182024873677844,0.517217019108997
"NM_001001719",68.3709623456384,0.129787400001876,0.219324629200048,0.278182471732779,0.638543054846397
"NM_001001720",57.915327610223,0.129430156108006,0.21012530848533,0.290175365057047,0.648477807064518
"NM_001001800",647.600486917292,-0.372350576158929,0.177483349234771,0.00769888307089305,0.0744063379204975
"NM_001001801",48.8546916764161,0.124638659110625,0.208084409155268,0.305181285606574,0.662740725184413
"NM_001002016",1358.75819044091,0.156817683502025,0.132838879219046,0.155137983571421,0.47887071536666
"NM_001002022",822.793301084174,-0.161714035137828,0.131373965289553,0.138600958552438,0.458212545886807
"NM_001002253",460.604944159069,0.0822307651399396,0.135466616175932,0.457440559030221,0.779839018877988
"NM_001002277",130.306696315775,-0.0821153895060489,0.180569767494504,0.488120546155623,0.798350731491278
