"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001000121",52.0382996445117,-0.0330301176233348,0.32020557148745,0.841378332646368,0.920080201578431
"NM_001000750",85.7544323072801,-2.71830649262528,0.625524623648969,5.74861435970105e-07,2.81475875307515e-05
"NM_001000913",7.99856456283789,-0.18024703413399,0.396344452243001,0.228444210771446,0.444636724392755
"NM_001001504",492.84532897523,-0.273068115060737,0.216218644167594,0.127146455776789,0.309866072766469
"NM_001001505",4608.97714007851,0.132416953393577,0.193462156289293,0.426419186955069,0.640533838776148
"NM_001001507",666.649007952087,0.119309175500753,0.254888633002721,0.533305658603169,0.723284621325052
"NM_001001509",6319.74271047112,-0.130755402978263,0.333620155395319,0.463307482384893,0.670046940418629
"NM_001001511",154.64281588774,0.568882179931596,0.359343940029326,0.0229458119374784,0.102430629822292
"NM_001001512",2841.7152581855,-0.500020516616428,0.232465181473325,0.0098155807405728,0.0582163639903935
"NM_001001513",196.335505291665,0.15885906012816,0.190189871733554,0.333115186356359,0.558572122194089
"NM_001001515",369.085296221111,0.0634436685846516,0.255575526128027,0.738308840171014,0.861189426965847
"NM_001001517",1060.51999621766,-0.156963134555473,0.12794464287893,0.190395474003504,0.397116235039349
"NM_001001718",433.128329919984,0.309576473269572,0.231320561612725,0.0992656752199797,0.266768867272202
"NM_001001719",116.397597300279,0.65091740156151,0.633297457786574,0.0276519215254968,0.114995053519497
"NM_001001720",65.8744105183785,0.181438672432221,0.254750215683032,0.347284559155686,0.57220463277817
"NM_001001800",693.932829286341,-0.60572308841504,0.260372519194804,0.00443569901306227,0.0328807858273095
"NM_001001801",52.6236407345466,0.0715987419757757,0.256783031196671,0.705539484471858,0.839786672043878
"NM_001002016",2048.84211862974,0.670331012427461,0.336447570031408,0.0079586514311818,0.0501219860677375
"NM_001002022",1052.63377727126,0.0704950091688937,0.195350075199626,0.674351277148159,0.821480473185463
"NM_001002253",487.297500302509,-0.102812335441668,0.172620991184801,0.501389841189335,0.699765167063551
"NM_001002277",150.071763456816,-0.108289996836772,0.242573263601439,0.560018085484371,0.744078544098789
"NM_001002278",326.906311313875,-0.136154941401182,0.186768320535031,0.399425164884181,0.618252638164533
"NM_001002279",179.619689978167,0.09408308115433,0.227064953846249,0.604997289035899,0.776989578802986
"NM_001002289",228.320545535778,0.0158896988909096,0.235171547962648,0.932023980933026,0.967005876834636
"NM_001002798",451.649435446018,-0.161915151214473,0.15630768868202,0.252918502781402,0.473609523558589
"NM_001002802",97.2676861887146,-0.207978580928404,0.296305782049586,0.298484572691154,0.523787962854177
"NM_001002804",1277.50658691033,-0.467300019155309,0.30704391184978,0.0375431348157211,0.141142888089533
"NM_001002805",648.818426560376,-0.0828197913778632,0.296837530078338,0.653611583269355,0.808792483875576
"NM_001002807",335.625350678117,0.599151716293621,0.219931288485903,0.00161055281629406,0.0155148656734111
"NM_001002809",1295.18081371926,0.182704984641335,0.165615073719821,0.218257964555113,0.431575283407692
"NM_001002818",167.887350022283,0.642031288302755,0.218680204344673,0.000751605203293683,0.00878229652998522
"NM_001002819",38.9480230569001,0.0411797592401706,0.285795797580741,0.826526455384378,0.911766880079726
