"","SRR1177997","SRR1177999","SRR1178002","SRR1178000","SRR1178005","SRR1178007"
"NM_001000121",78.0956252059039,62.358046587687,71.6231898564107,100.002143175351,76.1806317500793,79.3751516326069
"NM_001000750",147.748480119278,148.699957247561,134.820122082655,220.217485503167,55.4040958182395,44.7183952859757
"NM_001000913",17.9408868716266,8.63419106598742,18.9590796678734,12.7662310436619,15.3900266161776,10.0616389393445
"NM_001001504",474.905828954821,487.352117946846,443.431807787484,613.842942682741,751.802800200277,639.473052589453
"NM_001001505",5787.51903552942,3081.44685599462,4912.50819838675,4567.11915587003,4640.86252610837,5720.60071695844
"NM_001001507",617.377577641267,855.744270095643,864.744689295782,717.036643619008,847.220965220579,766.920479154483
"NM_001001509",6684.56337911075,4643.27608437546,2948.13688835432,3202.19628678518,15503.1433118065,20313.3310586545
"NM_001001511",120.309476668555,127.594156864036,168.525152603319,152.13091993697,222.385884603767,177.755621261753
"NM_001001512",3530.13332856417,3986.11820879753,4022.48473620047,3918.16907781722,3819.03510480448,3810.00727836513
"NM_001001513",211.069257313254,219.692194901236,224.349109403169,204.25969669859,196.992340687074,264.956492069406
"NM_001001515",351.430313426567,265.741213919835,221.189262791856,289.367903656335,189.297327378985,220.23809678343
"NM_001001517",1113.39033232741,1138.75386614745,1133.33165125732,1170.237845669,1081.14936978648,1119.07784203154
"NM_001001718",335.600119128073,322.343133130197,345.476562836804,380.859226135912,410.913710651943,362.219001816403
"NM_001001719",35.8817737432531,69.0735285278994,50.5575457809958,69.1504181531684,21.5460372626487,15.6514383500915
"NM_001001720",84.4277029253015,86.3419106598743,108.488066988387,60.6395974573938,100.804674335964,127.447426565031
"NM_001001800",958.254428202172,1024.59067316384,832.092940978888,892.572320469358,778.735346778588,623.821614239361
"NM_001001801",72.8188937730725,54.683210084587,84.2625763016596,68.0865655661966,50.7870878333862,35.7747162287806
"NM_001002016",1425.77283315103,1488.91828160139,1317.6560369172,1537.26698817428,1621.33930401431,1500.30216184449
"NM_001002022",1141.8846820647,1199.19320360936,852.105302850533,1189.3871922345,1192.72706275377,1144.79091932098
"NM_001002253",468.573751235423,607.271438307782,536.120641719309,577.671954725699,425.534235937312,440.476193566861
"NM_001002277",131.918285820784,120.878674923824,145.352944120363,132.981573371478,127.737220914274,115.149867861387
"NM_001002278",368.315854011628,470.083735814871,482.403249327001,355.326764048588,309.33953498517,309.674887355382
"NM_001002279",215.290642459519,182.277366948623,219.082698384315,170.216413915491,180.832812740087,184.46338055465
"NM_001002289",272.279341934097,296.440559932235,328.624047576472,292.559461417251,270.094967113918,248.187093837165
"NM_001002798",582.55115018458,567.937901229395,478.190120511918,515.968504681333,430.151243922165,518.733385317318
"NM_001002802",92.8704732178316,156.374793750661,149.566072935446,159.577888045773,122.350711598612,139.744985268674
"NM_001002804",2979.24256697658,1817.01754210891,1822.17821252339,2056.42705061653,1775.23957017609,2015.68166751536
"NM_001002805",1019.46451282302,893.159098048255,825.773247756264,843.635101468654,676.391669781007,914.491183598203
"NM_001002807",346.153581993736,316.587005752872,338.103587410409,320.219628678518,337.811084225099,273.900171126601
"NM_001002809",1238.9765404288,1442.86926258279,1328.18885895491,1318.11335525809,1024.97577263743,1067.65168745267
"NM_001002818",184.685600149097,209.139294709473,176.951410233485,142.556246654224,166.981788785527,198.996859022592
"NM_001002819",23.2176183044579,19.1870912577498,45.291134762142,43.6179560658447,39.244567871253,12.2975587036433
"NM_001002823",45.3798903223496,42.2116007670496,30.5451839093516,31.9155776091546,34.6275598863997,14.5334784679421
"NM_001002826",15946.2823900163,17901.5561434806,13950.7227889435,15050.3225478904,11013.8725478675,10105.2393747484
"NM_001002827",135.084324680482,192.830267140386,163.258741584465,131.917720784506,186.988823386558,220.23809678343
"NM_001002828",641.650542232291,603.434020056232,660.407941764257,654.26934098767,586.360014076368,615.995895064316
"NM_001002829",23.2176183044579,35.4961188268372,44.2378525583713,29.787872435211,16.9290292777954,27.9489970537348
"NM_001002831",1963.99943929983,2417.57349847648,1940.14581934571,1947.9140867454,1186.5710521073,1112.37008273865
"NM_001002835",1248.4746570079,1749.86272270679,1412.45143525657,1433.00943465104,1281.21971579679,1400.80373233319
"NM_001002851",194.183716728193,141.984475307349,176.951410233485,151.067067349999,127.737220914274,146.45274456157
"NM_001002853",48.5459291820484,47.9677281443746,69.5166254488692,50.0010715876756,45.400578517724,48.0722749324239
"NM_001002854",558.278185593556,782.833323316193,670.940763801965,617.034500443656,562.505472821293,468.425190620596
"NM_001003401",261.725879068435,483.514699695296,250.681164497437,186.174202720069,1972.23191086316,2064.87190232993
"NM_001003402",507.621563838375,416.359880293171,422.366163712069,408.519393397179,499.406363694964,383.460239577242
"NM_001003403",77.0402789193376,95.9354562887492,75.8363186714936,97.8744380014076,146.974754184496,98.3804696291466
"NM_001003673",1836.30253862531,2056.85618283078,1975.95741427392,1822.37948148273,1656.73636523152,1688.11942204558
"NM_001003705",291.27557509229,303.156041872447,302.291992482204,356.39061663556,440.924262553489,315.264686766129
"NM_001003706",414.751090620544,602.474665493345,788.908370624288,520.223915029221,158.51727414663,187.817260201098
"NM_001003708",240.618953337109,223.529613152786,227.508956014481,202.131991524646,212.382367303251,210.176457844086
"NM_001003709",1814.14026660742,1744.10659532946,1763.19440911223,1806.42169267815,1275.83320648113,1395.21393292244
"NM_001003711",82.3170103521689,109.366420169174,145.352944120363,140.42854148028,13.081522623751,7.82571917504575
"NM_001003958",63.3207771939761,74.8296559052244,67.4100610413277,87.2359121316893,73.8721277576526,41.3645156395275
"NM_001003959",280.722112226627,316.587005752872,302.291992482204,368.09299509225,299.336017684655,248.187093837165
"NM_001003974",67.5421623402412,57.5612737732495,86.3691407092011,44.6818086528165,65.407613118755,80.4931115147563
"NM_001003975",310.271808250483,252.31025003941,241.201624663501,223.409043264082,270.864468444726,256.012813012211
"NM_001003978",3234.63636832561,2798.43725994281,2593.18078568357,2687.29163469082,2778.66930555087,2912.28549299917
"NM_001004068",551.946107874159,502.701790953046,424.47272811961,471.286696028517,495.55885704092,500.846027202928
"NM_001004072",1808.86353517458,1654.88662098092,1728.43609638779,1650.03536239329,1754.46303424425,1951.95795423284
"NM_001004075",206.847872166989,175.561885008411,186.430950067422,170.216413915491,102.343676997581,116.267827743537
"NM_001004076",78.0956252059039,70.0328830907869,60.0370856149325,68.0865655661966,63.0991091263283,42.4824755216769
"NM_001004078",3332.78357297628,2731.28244054069,2924.96467987136,3430.92459298412,3925.99578978691,4276.19654922143
"NM_001004080",194.183716728193,181.318012385736,240.14834245973,202.131991524646,249.318431182078,153.160503854467
"NM_001004081",75.9849326327713,114.163192983612,100.061809358221,94.6828802404921,63.8686104571372,80.4931115147563
"NM_001004082",14551.1145991757,15313.2175328101,15589.6298980108,22366.4367884956,35806.4359251989,34378.384335976
"NM_001004083",2080.08753082212,2282.30450510934,2187.66713723184,2118.1305006609,1674.43489584013,1847.98768519295
"NM_001004085",384.146048310122,556.425646474745,477.136838308147,713.845085858092,4517.74231317894,5281.24248327373
"NM_001004086",9675.41475523955,8837.57423331957,9539.57691955164,6933.12730929536,5194.13398295995,5897.23837833805
"NM_001004087",49.6012754686146,26.8619277608498,43.1845703546005,53.1926293485911,55.4040958182395,46.9543150502745
"NM_001004088",7.38742400596388,2.87806368866248,2.10656440754149,6.38311552183093,4.61700798485329,1.11795988214939
