"Geneid","SRR1178046","SRR1178036","SRR1178020","SRR1178002","SRR1177999","SRR1177997","SRR1177989","SRR1177988","SRR1177987"
"NM_001000000",0,0,0,0,2,0,0,0,0
"NM_001000001",2,2,6,8,3,0,8,2,0
"NM_001000002",0,0,0,0,0,0,0,0,0
"NM_001000003",0,0,0,0,0,0,0,0,0
"NM_001000004",0,0,0,0,0,0,0,0,0
"NM_001000005",0,0,0,0,0,0,0,0,0
"NM_001000006",0,0,0,0,0,0,0,0,0
"NM_001000007",0,0,0,0,0,0,0,0,0
"NM_001000008",0,0,1,1,0,0,0,0,0
"NM_001000009",0,0,0,0,0,0,0,0,0
"NM_001000010",0,0,0,0,0,0,0,0,0
"NM_001000011",0,0,0,0,0,0,0,0,0
"NM_001000012",16,0,0,0,0,4,0,2,0
"NM_001000013",0,0,0,0,0,0,0,0,0
"NM_001000014",0,0,0,0,0,0,0,0,0
"NM_001000015",0,0,0,0,0,0,0,0,0
"NM_001000016",0,0,0,0,0,0,0,0,0
"NM_001000017",0,0,0,0,0,0,0,0,0
"NM_001000018",0,0,0,0,0,0,0,0,0
"NM_001000019",0,0,0,0,0,0,0,0,0
"NM_001000020",0,0,0,0,0,0,0,0,0
"NM_001000021",0,0,0,0,0,0,0,0,0
"NM_001000022",0,0,0,0,0,0,0,0,0
"NM_001000023",0,0,0,0,0,0,1,0,0
"NM_001000024",0,0,0,0,0,0,0,0,0
"NM_001000025",0,0,0,0,0,0,0,0,0
"NM_001000026",0,0,0,0,0,0,0,0,0
"NM_001000027",0,0,0,0,0,0,0,0,0
"NM_001000028",0,0,0,0,0,0,0,0,0
"NM_001000029",0,0,0,0,0,0,0,0,0
"NM_001000030",0,0,0,0,0,0,0,0,0
"NM_001000031",0,0,0,0,0,0,0,0,0
"NM_001000032",0,0,0,0,0,0,0,0,0
"NM_001000033",0,0,0,0,0,0,0,0,0
"NM_001000034",0,0,0,0,0,0,0,0,0
"NM_001000035",0,0,0,0,0,0,0,0,0
"NM_001000036",0,0,0,0,0,0,0,0,0
"NM_001000037",0,0,0,0,0,0,0,0,0
"NM_001000038",0,0,0,0,0,0,0,0,0
"NM_001000039",0,0,0,0,0,0,0,0,0
"NM_001000040",0,0,0,0,0,0,0,0,0
"NM_001000041",0,0,0,0,0,0,0,0,0
"NM_001000042",0,0,0,0,0,0,0,0,0
"NM_001000043",0,0,0,0,0,0,0,0,0
"NM_001000044",0,0,0,0,0,0,0,0,0
"NM_001000045",0,0,0,0,0,0,0,0,0
"NM_001000046",0,0,0,0,0,0,0,0,0
"NM_001000047",0,0,0,0,0,0,0,0,0
"NM_001000048",0,0,0,0,0,0,0,0,0
"NM_001000049",0,0,0,0,0,0,0,0,0
