"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_012541",88373.7408698866,3.67953392025022,0.191220280409067,1.4165500872486e-83,1.51726679845198e-79
"NM_012608",80.5252724854541,-3.05647433135819,0.475311116886195,5.78245584691523e-12,8.84798351090129e-09
"NM_022521",14265.6326543482,1.76850697000208,0.243511592207544,2.13052751757994e-14,7.60669341359958e-11
"NM_022866",1196.16019978785,-2.37288190005014,0.381435253730602,2.14991318495335e-11,2.30277201240354e-08
"NM_024351",240.196595135791,-1.48236841977931,0.232153355158297,8.38852208267155e-12,1.12311825034369e-08
"NM_053883",1423.95348389567,-1.13194474452911,0.178007586170191,1.00626569054301e-11,1.19756797904513e-08
"NM_130407",602.130822275122,3.27586508834524,0.3436068020369,7.46423018260054e-23,3.99746847429172e-19
"NM_134329",333.573416317208,-1.61498499323111,0.239874469319175,7.85467540859811e-13,1.68262856602989e-09
"NM_175761",2743.72057009309,-1.34923810459296,0.204545139973772,1.99454655424848e-12,3.56059802375924e-09
"NR_046239",13707.0940084336,1.43383159681025,0.208614889659496,3.19032208532564e-13,8.54288496398073e-10
