"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001010921",23147.3130648229,2.90168760282329,0.125481586466446,2.62792654945855e-118,2.81661167570967e-114
"NM_001134844",52923.0100061905,8.26895385191395,0.534817628682589,3.49296919781391e-55,4.15973820690772e-52
"NM_012844",3055.71574608505,2.28179969253005,0.13241234877179,9.48781619627581e-68,1.69484023319473e-64
"NM_013105",247058.583010079,5.28886174454298,0.241401935569374,1.23670291576195e-107,4.41832728371219e-104
"NM_013215",8696.88879196018,2.8829339414992,0.176838563149694,5.08982461849554e-61,6.8190925326294e-58
"NM_017272",14579.9314447973,4.65270014608077,0.27285045205279,1.70024673435113e-66,2.60332064268219e-63
"NM_080581",1833.08019897867,4.558400872667,0.202550788386497,1.61047246877636e-113,8.63052196017253e-110
"NM_131903",5362.69655508389,-3.70739924157533,0.21063676964137,1.10857403117093e-70,2.9704241165225e-67
"NM_133586",186.088250163661,5.09738679488981,0.337241310151923,2.06498566742372e-52,2.21325163834475e-49
"NM_173295",24072.5293457721,2.97177379823074,0.171788263321611,7.71036230442286e-69,1.65279326357609e-65
