"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001010921",17085.0205153747,2.10950355575159,0.194156543766189,8.29405765432616e-29,9.05628155275874e-26
"NM_001013098",1977.22430259903,-7.37563412796137,0.643549007233207,6.12091955830225e-32,7.42603562856692e-29
"NM_001257095",8961.32035017354,-10.6413677689984,0.50687931120698,4.97365860877882e-100,2.71536891746279e-96
"NM_012540",538.724437277594,5.11602514126722,0.43872165997046,1.11344760348503e-32,1.51971679780664e-29
"NM_012844",3055.03127555259,2.02288286796381,0.155262143506076,5.62790222365737e-40,1.2290212876023e-36
"NM_013215",25126.8167263952,4.30005353897537,0.33100822727157,1.19582966592957e-39,2.17621068704749e-36
"NM_023978",351.525718086018,4.224400044508,0.30910760336879,9.42677231967832e-44,2.57327317396419e-40
"NM_080581",3081.37980422773,5.08840002074124,0.350024067327056,3.14233568496933e-49,1.143705444806e-45
"NM_139115",281.484387156969,3.14695518308652,0.248932798406484,8.88744301868635e-38,1.38631414744338e-34
"NM_203512",23060.2084557786,-8.7916942945843,0.360605848026006,2.61712639775277e-132,2.85764031370625e-128
